,Neuron name,Current Root ID Spring 2023,id
332,put_SAD_pr02_L3,720575940612338674,720575940612338674
333,put_SAD_pr02_L4,720575940623292713,720575940623292713
334,put_SAD_pr02_L5,720575940626745387,720575940626745387
335,SAD_pr02_R1,720575940620910774,720575940620910774
336,SAD_pr02_R2,720575940608432760,720575940608432760
337,SAD_pr02_R3,720575940633040097,720575940633040097
338,SAD_pr02_R4,720575940623090446,720575940623090446
339,SAD_pr02_R5,720575940627939177,720575940627939177
340,SAD_pr02_R6,720575940645497140,720575940645497140
341,SAD_pr02_R7,720575940615625053,720575940615625053
342,SAD_pr02_R8,720575940620859886,720575940620859886
343,SAD_pr02_R9,720575940628846966,720575940628846966
344,SAD_pr02_R10,720575940611335859,720575940611335859
345,AVLP_pr04_L1,720575940630506102,720575940629513478
346,AVLP_pr04_L2,720575940627604977,720575940627604977
347,AVLP_pr04_R1,720575940623113752,720575940623113752
348,AVLP_pr04_R2,720575940608287497,720575940608287497
349,AVLP_pr12_L1,720575940628333788,720575940628333788
350,AVLP_pr12_L2,720575940620424472,720575940620424472
351,AVLP_pr12_L3,720575940620123613,720575940635130905
352,AVLP_pr12_L4,720575940626869403,720575940626869403
353,AVLP_pr12_L5,720575940632011420,720575940632011420
354,AVLP_pr12_L6,720575940637319134,720575940637319134
355,AVLP_pr12_R1,720575940614437462,720575940614437462
356,AVLP_pr12_R2,720575940626885124,720575940626885124
357,AVLP_pr12_R3,720575940637079667,720575940637079667
358,AVLP_pr12_R4,720575940634371941,720575940634371941
359,AVLP_pr12_R5,720575940608082990,720575940608082990
360,AVLP_pr12_R6,720575940630037073,720575940630037073
361,AVLP_pr12_R7,720575940606687957,720575940606687957
362,AVLP/PVLP_pr01_L,720575940622157277,720575940622157277
363,AVLP/PVLP_pr01_R1,720575940612975853,720575940612975853
364,AVLP/PVLP_pr01_R2,720575940605114754,720575940605114754
365,AVLP/PVLP_pr01_R3,720575940631805999,720575940631805999
366,AVLP/PVLP_pr01_R4,720575940630822607,720575940630822607
367,AVLP/PVLP_pr01_R5,720575940613531295,720575940613531295
368,AVLP/PVLP_pr01_R6,720575940611420634,720575940611420634
