,Neuron name,Codex July 2025,new_id
444,vpoIN-1_L2,720575940632392599,720575940632392599
445,vpoIN-1_L3,720575940629199146,720575940629199146
446,vpoIN-1_L4,720575940627718394,720575940627718394
447,vpoIN-1_L5,720575940633033567,720575940633033567
448,vpoIN-2_R1,720575940628256763,720575940628256763
449,vpoIN-2_R2,720575940616727782,720575940616727782
450,vpoIN-2_R3,720575940620076415,720575940620076415
451,vpoIN-2_L,720575940615200059,720575940615200059
452,vpoIN-3_R,720575940636705502,720575940636705502
453,vpoIN-3_L,720575940615894877,720575940615894877
454,pMN1_R,720575940624463242,720575940624463242
455,pMN1_L,720575940644300323,720575940644300323
456,pMN2_R,720575940613170498,720575940613170498
457,pMN2_L,720575940627496829,720575940627496829
458,pC2la_R1,720575940636910825,720575940636910825
459,pC2la_R2,720575940627670032,720575940627670032
460,pC2la_R3,720575940623855397,720575940623855397
461,pC2la_R4,720575940610455781,720575940610455781
462,pC2la_R5,720575940621431492,720575940621431492
463,pC2la_R6,720575940634545294,720575940634545294
464,pC2la_R7,720575940630344396,720575940630344396
465,pC2la_L1,720575940632522848,720575940632522848
466,pC2la_L2,720575940619302640,720575940619302640
467,pC2la_L3,720575940630057979,720575940630057979
468,pC2la_L4,720575940619675712,720575940619675712
469,pC2lb_R1,720575940638095293,720575940638095293
470,pC2lb_R2,720575940618475101,720575940618475101
471,pC2lb_R3,720575940631179807,720575940631179807
472,pC2lb_R4,720575940626793831,720575940626793831
473,pC2lb_L1,720575940623725972,720575940623725972
474,pC2lb_L2,720575940633300148,720575940633300148
475,pC2lb_L3,720575940640176848,720575940640176848
476,pC2lb_L4,720575940640992731,720575940640992731
477,pC2lb_L5,720575940611401709,720575940611401709
478,pC2lc_L1,720575940620931348,720575940620931348
479,pC2lc_L2,720575940628719375,720575940628719375
480,pC2lc_L3,720575940629407020,720575940629407020
481,pC2ld_L,720575940629017591,720575940629017591
482,pC1d_R,720575940620356545,720575940620356545
483,pC1d_L,720575940646518382,720575940646518382
484,pC1e_R,720575940618364480,720575940618364480
485,pC1e_L,720575940634866586,720575940634866586
486,aPN3_R1,720575940628244064,720575940628244064
487,aPN3_R2,720575940603903264,720575940603903264
488,aPN3_R3,720575940616748756,720575940616748756
489,aPN3_R4,720575940625466387,720575940625466387
490,aPN3_R5,720575940626990086,720575940626990086
491,aPN3_L1,720575940615308729,720575940615308729
492,aPN3_L2,720575940623020263,720575940623020263
493,aPN3_L3,720575940615503249,720575940615503249
494,aPN3_L4,720575940618149336,720575940618149336
495,aPN3_L5,720575940621159181,720575940621159181
496,aPN2_R1,720575940618772719,720575940618772719
497,aPN2_R2,720575940620833974,720575940620833974
498,aPN2_R3,720575940625597317,720575940625597317
499,aPN2_R4,720575940627027087,720575940627027087
500,aPN2_L1,720575940603930046,720575940603930046
501,aPN2_L2,720575940630214564,720575940630214564
502,aPN2_L3,720575940629394232,720575940629394232
503,aPN2_L4,720575940606919602,720575940606919602
504,aPN2_L5,720575940650920569,720575940650920569
505,aPN2_L6,720575940614190242,720575940614190242
506,aPN2_L7,720575940629552170,720575940629552170
507,JO-A_R1,720575940624428728,720575940624428728
508,JO-A_R2,720575940620537435,720575940620537435
509,JO-A_R3,720575940608975371,720575940608975371
510,JO-A_R4,720575940642063245,720575940642063245
511,JO-A_R5,720575940627085199,720575940627085199
512,JO-A_R6,720575940614014614,720575940614014614
513,JO-A_R7,720575940634228124,720575940634228124
514,JO-A_R8,720575940643903904,720575940643903904
515,JO-A_R9,720575940622295585,720575940622295585
516,JO-A_R10,720575940619465131,720575940619465131
517,JO-A_R11,720575940629237036,720575940629237036
518,JO-A_R12,720575940615676334,720575940615676334
519,JO-A_R13,720575940621791664,720575940621791664
520,JO-A_R14,720575940607208114,720575940607208114
521,JO-A_R15,720575940613304883,720575940613304883
522,JO-A_R16,720575940615241010,720575940615241010
523,JO-A_R17,720575940624167093,720575940624167093
524,JO-A_R18,720575940617668537,720575940617668537
525,JO-A_R19,720575940614866242,720575940614866242
526,JO-A_R20,720575940632812867,720575940632812867
527,JO-A_R21,720575940610236740,720575940610236740
528,JO-A_R22,720575940609691075,720575940609691075
529,JO-A_R23,720575940623587780,720575940623587780
530,JO-A_R24,720575940631463495,720575940631463495
531,JO-A_R25,720575940626162378,720575940626162378
532,JO-A_R26,720575940639375182,720575940639375182
533,JO-A_R27,720575940640713680,720575940640713680
534,JO-A_R28,720575940619878485,720575940619878485
535,JO-A_R29,720575940630534615,720575940630534615
536,JO-A_R30,720575940622706653,720575940622706653
537,JO-A_R31,720575940637389534,720575940637389534
538,JO-A_R32,720575940614332899,720575940614332899
539,JO-A_R33,720575940628054760,720575940628054760
540,JO-A_R34,720575940632022888,720575940632022888
541,JO-A_R35,720575940614280554,720575940614280554
542,JO-A_R36,720575940624770540,720575940624770540
543,JO-A_R37,720575940621870576,720575940621870576
544,JO-A_R38,720575940630721910,720575940630721910
545,JO-A_R39,720575940618851963,720575940618851963
546,JO-A_R40,720575940627106173,720575940627106173
547,JO-A_R41,720575940639742627,720575940639742627
548,JO-A_R42,720575940615041064,720575940615041064
549,JO-A_R43,720575940615750318,720575940615750318
550,JO-A_R44,720575940630211127,720575940630211127
551,JO-A_R45,720575940608487772,720575940608487772
552,JO-A_R46,720575940624832231,720575940624832231
553,JO-A_L1,720575940627046010,720575940627046010
554,JO-A_L2,720575940621340429,720575940621340429
555,JO-A_L3,720575940617534110,720575940617534110
556,JO-A_L4,720575940620649641,720575940620649641
557,JO-A_L5,720575940632669741,720575940632669741
558,JO-A_L6,720575940638256949,720575940638256949
559,JO-A_L7,720575940630017603,720575940630017603
560,JO-A_L8,720575940630018115,720575940630018115
561,JO-A_L9,720575940622591049,720575940622591049
562,JO-A_L10,720575940606612937,720575940606612937
563,JO-A_L11,720575940607367125,720575940607367125
564,JO-A_L12,720575940620745825,720575940620745825
565,JO-A_L13,720575940629044071,720575940629044071
566,JO-A_L14,720575940627538947,720575940627538947
567,JO-A_L15,720575940628356358,720575940628356358
568,JO-A_L16,720575940626949513,720575940626949513
569,JO-A_L17,720575940627142666,720575940627142666
570,JO-A_L18,720575940608457483,720575940608457483
571,JO-A_L19,720575940642163341,720575940642163341
572,JO-A_L20,720575940626242191,720575940626242191
573,JO-A_L21,720575940627442197,720575940627442197
574,JO-A_L22,720575940633057943,720575940633057943
575,JO-A_L23,720575940621464344,720575940621464344
576,JO-A_L24,720575940625227672,720575940625227672
577,JO-A_L25,720575940624670759,720575940624670759
578,JO-A_L26,720575940623189799,720575940623189799
579,JO-A_L27,720575940627195691,720575940627195691
580,JO-A_L28,720575940619694512,720575940619694512
581,JO-A_L29,720575940618056753,720575940618056753
582,JO-A_L30,720575940607059122,720575940607059122
583,JO-A_L31,720575940637418549,720575940637418549
584,JO-A_L32,720575940621110454,720575940621110454
585,JO-A_L33,720575940618770625,720575940618770625
586,JO-A_L34,720575940619508033,720575940619508033
587,JO-A_L35,720575940608554052,720575940608554052
588,JO-A_L36,720575940614544582,720575940614544582
589,JO-A_L37,720575940620322753,720575940620322753
590,JO-A_L38,720575940626164938,720575940626164938
591,JO-A_L39,720575940625917386,720575940625917386
592,JO-A_L40,720575940623840589,720575940623840589
593,JO-A_L41,720575940631156431,720575940631156431
594,JO-A_L42,720575940628769239,720575940628769239
595,JO-A_L43,720575940613682911,720575940613682911
596,JO-A_L44,720575940634414959,720575940634414959
597,JO-A_L45,720575940611177586,720575940611177586
598,JO-A_L46,720575940614927989,720575940614927989
599,JO-A_L47,720575940626522620,720575940626522620
600,JO-A_L48,720575940629450366,720575940629450366
601,JO-B_R1,720575940640820788,720575940640820788
602,JO-B_R2,720575940623490794,720575940623490794
603,JO-B_R3,720575940623357675,720575940623357675
604,JO-B_R4,720575940638811507,720575940638811507
605,JO-B_R5,720575940616336245,720575940616336245
606,JO-B_R6,720575940616786315,720575940616786315
607,JO-B_R7,720575940608876471,720575940608876471
608,JO-B_R8,720575940625910714,720575940625910714
609,JO-B_R9,720575940626741265,720575940626741265
610,JO-B_R10,720575940631750687,720575940631750687
611,JO-B_R11,720575940644635172,720575940644635172
612,JO-B_R12,720575940625866789,720575940625866789
613,JO-B_R13,720575940613696552,720575940613696552
614,JO-B_R14,720575940631469098,720575940631469098
615,JO-B_R15,720575940632288815,720575940632288815
616,JO-B_R16,720575940625023024,720575940625023024
617,JO-B_R17,720575940618847281,720575940618847281
618,JO-B_R18,720575940640817204,720575940640817204
619,JO-B_R19,720575940618953270,720575940618953270
620,JO-B_R20,720575940640836660,720575940640836660
621,JO-B_R21,720575940640841268,720575940640841268
622,JO-B_R22,720575940640843316,720575940640843316
623,JO-B_R23,720575940624111177,720575940624111177
624,JO-B_R24,720575940616793174,720575940616793174
625,JO-B_R25,720575940628315232,720575940628315232
626,JO-B_R26,720575940622857827,720575940622857827
627,JO-B_R27,720575940626258532,720575940626258532
