,pre_pt_root_id,post_pt_root_id,neuropil,syn_count,nt_type,Excitatory,Signed_Connectivity,Presynaptic_Index,Postsynaptic_Index
55395,720575940625345328,720575940641545888,AMMC_L,1,GABA,-1,-1,175,186
55396,720575940614000947,720575940613422860,SAD,1,,-1,-1,989,96
55397,720575940627585688,720575940618392912,AMMC_L,4,,-1,-4,1271,69
55398,720575940618342966,720575940623090446,SAD,4,GABA,-1,-4,177,289
55399,720575940632715359,720575940624795017,AL_R,2,ACH,1,2,22,107
55400,720575940631866508,720575940639296189,SAD,1,ACH,1,1,1152,1290
55401,720575940618475101,720575940638095293,AVLP_R,4,ACH,1,4,467,466
55402,720575940625345328,720575940611864243,SAD,2,GABA,-1,-2,175,61
55403,720575940614795410,720575940625483962,AMMC_L,1,,-1,-1,690,91
55404,720575940610341525,720575940624704393,AMMC_L,15,,-1,-15,784,40
55405,720575940614188149,720575940614310802,AMMC_L,2,ACH,1,2,1074,54
55406,720575940634299071,720575940633040097,SAD,1,GABA,-1,-1,397,288
55407,720575940630353682,720575940632649567,AVLP_R,8,GABA,-1,-8,197,160
55408,720575940630214564,720575940619233812,SAD,2,ACH,1,2,498,266
55409,720575940622123981,720575940602914988,SAD,2,GABA,-1,-2,170,189
55410,720575940623113752,720575940616783833,GOR_L,1,DA,-1,-1,297,383
55411,720575940616162235,720575940627027087,SAD,1,ACH,1,1,1220,496
55412,720575940610018266,720575940617811013,AMMC_L,2,ACH,1,2,1086,1273
55413,720575940615625053,720575940630319671,IPS_L,1,GABA,-1,-1,292,915
55414,720575940609076693,720575940606336213,SAD,4,ACH,1,4,45,50
55415,720575940618475101,720575940637175349,AVLP_R,9,ACH,1,9,467,331
55416,720575940626309438,720575940632175268,AMMC_L,2,ACH,1,2,1049,1142
55417,720575940639296189,720575940620731631,GNG,1,,-1,-1,1290,71
55418,720575940621639133,720575940609522382,AMMC_R,2,ACH,1,2,1104,46
55419,720575940622065432,720575940603186790,AVLP_L,1,GABA,-1,-1,193,155
55420,720575940641921421,720575940639360245,SAD,1,ACH,1,1,1081,1579
55421,720575940615723077,720575940617197057,AMMC_R,2,ACH,1,2,58,280
55422,720575940619235920,720575940628828688,AMMC_R,1,ACH,1,1,1208,1318
55423,720575940641656283,720575940644968302,GNG,2,,-1,-2,1370,408
55424,720575940604805036,720575940619405812,AMMC_L,6,,-1,-6,711,42
55425,720575940619415679,720575940620931348,EPA_R,1,ACH,1,1,431,475
55426,720575940617362772,720575940635130905,SCL_R,1,ACH,1,1,324,300
55427,720575940618342966,720575940632998136,WED_L,43,GABA,-1,-43,177,396
55428,720575940628111875,720575940613783038,AMMC_R,1,ACH,1,1,969,816
55429,720575940634830175,720575940618599277,AMMC_L,7,,-1,-7,708,56
55430,720575940625023024,720575940630207799,AMMC_R,1,ACH,1,1,625,893
55431,720575940624704393,720575940627304963,AMMC_L,1,ACH,1,1,40,781
55432,720575940604274622,720575940612523571,AMMC_L,8,,-1,-8,786,29
55433,720575940631670584,720575940615222201,AMMC_L,1,,-1,-1,856,768
55434,720575940624700138,720575940620731631,AMMC_L,1,GABA,-1,-1,129,71
55435,720575940615469785,720575940605860710,SAD,1,ACH,1,1,1050,1341
55436,720575940629065154,720575940637663662,AMMC_L,1,GLUT,-1,-1,133,53
55437,720575940625972624,720575940627304963,AL_L,1,,-1,-1,750,781
55438,720575940629105658,720575940624704393,SAD,1,,-1,-1,930,40
